title,story_points,state,type,priority,board_id,sprint_id,issue_id
als medewerker wil ik de assortimentcode van producten kunnen zien zodat ik kan zien welke producten uit het assortiment gaan,2.0,closed,Story,Normal,1,1,117579
als medewerker wil ik een product kunnen zoeken op zbartikelnummer zodat ik sneller het product kan vinden wat ik zoek,1.0,closed,Story,Normal,1,1,117578
als medewerker wil ik het zbartikelnummer van een product kunnen zien zodat ik zeker weet dat ik het juiste artikel heb,2.0,closed,Story,Normal,1,1,117577
als developer wil ik bij het consumeren van producten de relatie met maaltijdtypering automatiseren zodat dit niet handmatig hoeft,3.0,closed,Story,Normal,1,1,117576
als developer wil ik een background process dat periodiek alle nieuwe herhaalorders inschiet zodat dit voor de gebruiker wordt geautomatiseerd,8.0,closed,Story,Normal,1,1,117575
als gebruiker wil ik een herhaal order kunnen verwijderen zodat ik geen automatische orders meer krijg,8.0,closed,Story,Normal,1,1,117574
als besteller wil ik meer informatie vaste dieetmaaltijden zodat ik weet wat de maaltijd bevat,8.0,closed,Story,Normal,1,1,117573
als besteller wil ik een overzicht van vaste dieetmaaltijden hebben zodat ik aantallen kan invoeren,5.0,closed,Story,Normal,1,1,117572
als developer wil ik dat het ophalen van cycli voor een ontvanger een duidelijke structuur heeft zodat de ontvangers de juiste cyclus kunnen bestellen,5.0,closed,Story,Normal,1,1,117571
als medewerker wil ik voor een productrecept extra ingredienten kunnen voeren zodat de besteller voor kookrecepten extra producten kan bestellen,5.0,closed,Story,Normal,1,1,117570
als medewerker wil ik voor een product een recept omschrijving kunnen voeren zodat de gebruiker weet hoe het kook product wordt bereidt,5.0,closed,Story,Normal,1,1,117569
als gebruiker wil ik een herhaal order kunnen wijzigen zodat ik snel aanpassen kan doen geautomatiseerde bestellingen,8.0,closed,Story,Normal,1,1,117567
als medewerker wil ik voor een product een alternatieve kook product kunnen stellen zodat de gebruiker niet gebonden aan eetgemak,8.0,closed,Story,Normal,1,1,117564
als developer wil ik verifiren een besparend artikel geldig zodat alleen besparende artikelen worden getoond die beschikbaar,8.0,closed,Story,Normal,1,1,117563
als gebruiker wil ik vanaf een order detailpagina alle producten vervangen waarvoor een besparend product zodat ik gemakkelijk goedkoper uit ben,8.0,closed,Story,Normal,1,1,117562
als gebruiker wil ik op een order detailpagina per artikel kunnen kiezen ik het wil vervangen voor het besparend alternatief zodat ik goedkopere keuzes kan maken,8.0,closed,Story,Normal,1,1,117561
als zorgboodschap wil ik een security layer voor alle endpoints van maaltijdbeheer zodat de endpoints niet openbaar te bereiken zijn,5.0,closed,Story,Normal,1,1,117560
tests aanpassen zodat ze blijven functioneren met een security laag,5.0,closed,Story,Normal,1,1,117559
als medewerker wil ik de afleverhoeveelheden per organisatie kunnen instellen zodat de juiste hoeveelheden worden afgeleverd,5.0,closed,Story,Normal,1,1,117558
als medewerker wil ik de afleverhoeveelheden per ontvanger kunnen instellen zodat de juiste hoeveelheden worden afgeleverd,5.0,closed,Story,Normal,1,1,117557
als medewerker wil ik de afleverhoeveelheden algemeen kunnen instellen zodat de juiste hoeveelheden worden afgeleverd,8.0,closed,Story,Normal,1,1,117556
als gebruiker wil ik op een order detailpagina bij de prijsinformatie ingelicht worden hoeveel ik kan besparen zodat ik weet hoeveel ik zou kunnen besparen,8.0,closed,Story,Normal,1,1,117554
als gebruiker wil ik op de detailpagina van een artikel het besparend alternatief zien zodat ik goedkopere keuzes kan maken,2.0,closed,Story,Normal,1,1,117553
als gebruiker wil ik op de detailpagina van een artikel het alternatief zien zodat ik weet welke alternatieven er zijn,2.0,closed,Story,Normal,1,1,117552
slider blok meerdere slides automatisch animeren met bolletjes om zelf te klikken,2.0,closed,Story,Normal,1,1,90383
